scenario,policy,seed,weighted_goodput,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,dropped,arrived,steps,optimal_weighted_goodput,optimality_gap
light,wpr_no_demand,20310724,8.0,0.16227180527383367,0.15384615384615385,0.15384615384615385,24.738494873046875,22.103492736816406,10.0,13.0,56.0,0.0,0.0
light,wpr_no_residency,20310724,15.3,0.3103448275862069,0.3076923076923077,0.3076923076923077,25.473017501831055,22.86356496810913,8.0,13.0,52.0,0.0,0.0
light,wpr_fixed_gamma,20310724,10.5,0.2129817444219067,0.23076923076923078,0.3076923076923077,31.26812362670898,23.631558895111084,6.0,13.0,61.0,0.0,0.0
light,wpr_a2c,20310724,7.7,0.15618661257606492,0.15384615384615385,0.23076923076923078,27.157611465454103,25.66606330871582,7.0,13.0,57.0,0.0,0.0
light,random,20310824,18.5,0.8409090909090909,0.8333333333333334,0.8333333333333334,24.139659118652343,20.567597961425783,1.0,6.0,31.0,0.0,0.0
light,edf,20310824,22.0,1.0,1.0,1.0,24.018022537231445,19.350454648335774,0.0,6.0,31.0,0.0,0.0
light,greedy,20310824,18.8,0.8545454545454546,0.8333333333333334,1.0,24.712595462799072,21.56793212890625,0.0,6.0,31.0,0.0,0.0
light,vanilla_rl,20310824,18.5,0.8409090909090909,0.8333333333333334,0.8333333333333334,26.315113067626953,20.81362953186035,1.0,6.0,39.0,0.0,0.0
light,wpr_no_progress,20310824,15.3,0.6954545454545454,0.6666666666666666,0.6666666666666666,25.788674736022948,20.271156787872314,2.0,6.0,36.0,0.0,0.0
light,wpr_no_demand,20310824,15.0,0.6818181818181818,0.6666666666666666,0.6666666666666666,18.64725503921509,17.480523109436035,2.0,6.0,41.0,0.0,0.0
light,wpr_no_residency,20310824,18.8,0.8545454545454546,0.8333333333333334,0.8333333333333334,21.733938217163086,19.900354385375977,1.0,6.0,30.0,0.0,0.0
light,wpr_fixed_gamma,20310824,18.2,0.8272727272727273,0.8333333333333334,1.0,27.038479804992676,20.633899370829266,0.0,6.0,30.0,0.0,0.0
light,wpr_a2c,20310824,18.2,0.8272727272727273,0.8333333333333334,0.8333333333333334,24.708615112304688,21.693857955932618,1.0,6.0,31.0,0.0,0.0
light,random,20310924,11.9,0.3380681818181818,0.3333333333333333,0.6666666666666666,32.29276371002197,26.036134401957195,3.0,9.0,46.0,0.0,0.0
light,edf,20310924,19.900000000000002,0.5653409090909091,0.5555555555555556,0.6666666666666666,27.99618625640869,22.791630109151203,3.0,9.0,46.0,0.0,0.0
light,greedy,20310924,11.9,0.3380681818181818,0.3333333333333333,0.5555555555555556,31.933565902709958,24.672007369995118,3.0,9.0,44.0,0.0,0.0
light,vanilla_rl,20310924,8.4,0.23863636363636362,0.2222222222222222,0.5555555555555556,32.966016387939455,27.12233123779297,3.0,9.0,45.0,0.0,0.0
light,wpr_no_progress,20310924,3.5,0.09943181818181818,0.1111111111111111,0.1111111111111111,15.793624877929688,15.793624877929688,7.0,9.0,53.0,0.0,0.0
light,wpr_no_demand,20310924,12.2,0.34659090909090906,0.3333333333333333,0.3333333333333333,28.890119743347167,21.967770258585613,6.0,9.0,50.0,0.0,0.0
light,wpr_no_residency,20310924,19.5,0.5539772727272727,0.5555555555555556,0.7777777777777778,31.67144565582275,23.42946216038295,2.0,9.0,44.0,0.0,0.0
light,wpr_fixed_gamma,20310924,19.5,0.5539772727272727,0.5555555555555556,0.8888888888888888,33.27880620956421,25.561459064483643,1.0,9.0,50.0,0.0,0.0
light,wpr_a2c,20310924,19.5,0.5539772727272727,0.5555555555555556,0.6666666666666666,32.5409460067749,24.954211552937824,3.0,9.0,50.0,0.0,0.0
moderate,random,20310731,11.2,0.208955223880597,0.2,0.2,23.122663688659667,21.469270706176758,12.0,15.0,62.0,0.0,0.0
moderate,edf,20310731,14.399999999999999,0.2686567164179104,0.26666666666666666,0.4,26.50505304336548,21.942675590515137,9.0,15.0,67.0,0.0,0.0
moderate,greedy,20310731,11.2,0.208955223880597,0.2,0.26666666666666666,27.630363178253173,23.931068420410156,11.0,15.0,65.0,0.0,0.0
moderate,vanilla_rl,20310731,3.2,0.05970149253731343,0.06666666666666667,0.26666666666666666,31.226082706451415,26.653348922729492,11.0,15.0,65.0,0.0,0.0
moderate,wpr_no_progress,20310731,0.0,0.0,0.0,0.06666666666666667,25.00265121459961,25.00265121459961,14.0,15.0,69.0,0.0,0.0
moderate,wpr_no_demand,20310731,16.6,0.30970149253731344,0.3333333333333333,0.3333333333333333,21.72135772705078,19.068784713745117,10.0,15.0,72.0,0.0,0.0
moderate,wpr_no_residency,20310731,14.7,0.27425373134328357,0.26666666666666666,0.3333333333333333,29.457487487792967,22.22791519165039,10.0,15.0,62.0,0.0,0.0
moderate,wpr_fixed_gamma,20310731,29.3,0.5466417910447762,0.5333333333333333,0.5333333333333333,26.652127742767334,23.60072660446167,7.0,15.0,62.0,0.0,0.0
moderate,wpr_a2c,20310731,7.4,0.13805970149253732,0.13333333333333333,0.2,27.71136341094971,25.52997334798177,12.0,15.0,66.0,0.0,0.0
moderate,random,20310831,11.600000000000001,0.24116424116424118,0.23076923076923078,0.3076923076923077,27.87367420196533,24.10569715499878,9.0,13.0,52.0,0.0,0.0
moderate,edf,20310831,18.6,0.3866943866943867,0.38461538461538464,0.46153846153846156,31.65250253677368,22.50262149175008,7.0,13.0,57.0,0.0,0.0
moderate,greedy,20310831,19.0,0.395010395010395,0.38461538461538464,0.38461538461538464,27.402972793579103,24.030080795288086,8.0,13.0,55.0,0.0,0.0
moderate,vanilla_rl,20310831,7.4,0.15384615384615385,0.15384615384615385,0.15384615384615385,20.762951278686522,19.58831024169922,11.0,13.0,53.0,0.0,0.0
moderate,wpr_no_progress,20310831,4.2,0.08731808731808732,0.07692307692307693,0.15384615384615385,29.95467166900635,28.389787673950195,11.0,13.0,60.0,0.0,0.0
moderate,wpr_no_demand,20310831,8.0,0.1663201663201663,0.15384615384615385,0.15384615384615385,25.319198417663575,21.960264205932617,11.0,13.0,53.0,0.0,0.0
moderate,wpr_no_residency,20310831,18.9,0.3929313929313929,0.38461538461538464,0.38461538461538464,27.96424446105957,23.196809387207033,8.0,13.0,55.0,0.0,0.0
moderate,wpr_fixed_gamma,20310831,15.399999999999999,0.32016632016632013,0.3076923076923077,0.3076923076923077,23.95297346115112,19.97436809539795,9.0,13.0,57.0,0.0,0.0
moderate,wpr_a2c,20310831,15.8,0.3284823284823285,0.3076923076923077,0.38461538461538464,28.945016860961914,25.12294578552246,8.0,13.0,68.0,0.0,0.0
moderate,random,20310931,8.4,0.13145539906103287,0.11764705882352941,0.11764705882352941,27.14053831100464,26.3076810836792,15.0,17.0,61.0,0.0,0.0
moderate,edf,20310931,15.600000000000001,0.24413145539906106,0.23529411764705882,0.23529411764705882,23.621235275268553,20.326293468475342,13.0,17.0,67.0,0.0,0.0
moderate,greedy,20310931,11.8,0.18466353677621286,0.17647058823529413,0.23529411764705882,28.004948997497557,22.76084613800049,13.0,17.0,66.0,0.0,0.0
moderate,vanilla_rl,20310931,4.2,0.06572769953051644,0.058823529411764705,0.11764705882352941,28.833488750457764,23.286219596862793,15.0,17.0,66.0,0.0,0.0
moderate,wpr_no_progress,20310931,0.0,0.0,0.0,0.058823529411764705,30.643476486206055,30.643476486206055,16.0,17.0,69.0,0.0,0.0
moderate,wpr_no_demand,20310931,0.0,0.0,0.0,0.11764705882352941,30.05459041595459,28.96455955505371,15.0,17.0,76.0,0.0,0.0
moderate,wpr_no_residency,20310931,15.600000000000001,0.24413145539906106,0.23529411764705882,0.23529411764705882,23.023386764526368,20.627352714538574,13.0,17.0,65.0,0.0,0.0
moderate,wpr_fixed_gamma,20310931,15.600000000000001,0.24413145539906106,0.23529411764705882,0.23529411764705882,23.399349212646484,22.13151788711548,13.0,17.0,69.0,0.0,0.0
moderate,wpr_a2c,20310931,11.8,0.18466353677621286,0.17647058823529413,0.17647058823529413,24.657805061340333,21.91651789347331,14.0,17.0,69.0,0.0,0.0
heavy,random,20310738,8.0,0.09269988412514485,0.08695652173913043,0.08695652173913043,24.067329978942873,21.108030319213867,21.0,23.0,71.0,0.0,0.0
heavy,edf,20310738,15.3,0.17728852838933953,0.17391304347826086,0.17391304347826086,22.11694631576538,19.98757028579712,19.0,23.0,77.0,0.0,0.0
heavy,greedy,20310738,11.8,0.13673232908458866,0.13043478260869565,0.17391304347826086,28.738988494873045,23.677648544311523,19.0,23.0,71.0,0.0,0.0
heavy,vanilla_rl,20310738,0.0,0.0,0.0,0.08695652173913043,34.17776889801026,31.634916305541992,21.0,23.0,71.0,0.0,0.0
heavy,wpr_no_progress,20310738,20.2,0.23406720741599074,0.21739130434782608,0.21739130434782608,27.34585494995117,23.138427734375,18.0,23.0,70.0,0.0,0.0
heavy,wpr_no_demand,20310738,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,85.0,0.0,0.0
heavy,wpr_no_residency,20310738,0.0,0.0,0.0,0.043478260869565216,29.546188354492188,29.546188354492188,22.0,23.0,74.0,0.0,0.0
heavy,wpr_fixed_gamma,20310738,11.8,0.13673232908458866,0.13043478260869565,0.13043478260869565,25.25396614074707,23.105817159016926,20.0,23.0,78.0,0.0,0.0
heavy,wpr_a2c,20310738,4.2,0.04866743916570105,0.043478260869565216,0.13043478260869565,30.026252365112306,27.346768697102863,20.0,23.0,76.0,0.0,0.0
heavy,random,20310838,3.2,0.03118908382066277,0.03571428571428571,0.03571428571428571,23.38597869873047,23.38597869873047,27.0,28.0,80.0,0.0,0.0
heavy,edf,20310838,13.4,0.13060428849902536,0.14285714285714285,0.14285714285714285,24.6157262802124,19.45631504058838,24.0,28.0,88.0,0.0,0.0
heavy,greedy,20310838,7.3,0.07115009746588694,0.07142857142857142,0.10714285714285714,28.67216377258301,26.29951540629069,25.0,28.0,83.0,0.0,0.0
heavy,vanilla_rl,20310838,0.0,0.0,0.0,0.03571428571428571,29.74786949157715,29.74786949157715,27.0,28.0,85.0,0.0,0.0
heavy,wpr_no_progress,20310838,10.8,0.10526315789473685,0.10714285714285714,0.10714285714285714,25.91787509918213,22.882100423177082,25.0,28.0,78.0,0.0,0.0
heavy,wpr_no_demand,20310838,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,97.0,0.0,0.0
heavy,wpr_no_residency,20310838,0.0,0.0,0.0,0.03571428571428571,24.51959991455078,24.51959991455078,27.0,28.0,85.0,0.0,0.0
heavy,wpr_fixed_gamma,20310838,7.0,0.06822612085769982,0.07142857142857142,0.07142857142857142,24.77546806335449,21.35967445373535,26.0,28.0,85.0,0.0,0.0
heavy,wpr_a2c,20310838,10.8,0.10526315789473685,0.10714285714285714,0.10714285714285714,22.882005310058595,20.503828048706055,25.0,28.0,83.0,0.0,0.0
heavy,random,20310938,7.4,0.06672678088367899,0.06666666666666667,0.06666666666666667,26.585708713531492,20.97451114654541,28.0,30.0,88.0,0.0,0.0
heavy,edf,20310938,14.0,0.12623985572587917,0.13333333333333333,0.16666666666666666,24.12135124206543,20.053629875183105,25.0,30.0,90.0,0.0,0.0
heavy,greedy,20310938,7.0,0.06311992786293959,0.06666666666666667,0.1,27.728906059265135,23.042033513387043,27.0,30.0,85.0,0.0,0.0
heavy,vanilla_rl,20310938,3.2,0.028854824165915238,0.03333333333333333,0.06666666666666667,26.87312870025635,22.13805389404297,28.0,30.0,87.0,0.0,0.0
heavy,wpr_no_progress,20310938,11.2,0.10099188458070332,0.1,0.13333333333333333,27.548505401611326,22.77826166152954,26.0,30.0,86.0,0.0,0.0
heavy,wpr_no_demand,20310938,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,101.0,0.0,0.0
heavy,wpr_no_residency,20310938,0.0,0.0,0.0,0.03333333333333333,24.349483489990234,24.349483489990234,29.0,30.0,89.0,0.0,0.0
heavy,wpr_fixed_gamma,20310938,7.0,0.06311992786293959,0.06666666666666667,0.06666666666666667,23.363052463531496,21.567458152770996,28.0,30.0,90.0,0.0,0.0
heavy,wpr_a2c,20310938,7.0,0.06311992786293959,0.06666666666666667,0.06666666666666667,20.84969491958618,20.416865348815918,28.0,30.0,86.0,0.0,0.0
